gene,Sham,TAC_2W,TAC_4W,TAC_6W
Cyp1b1,4.83,9.95,25.91,10.37
Cyp2j6,6.40,9.90,14.27,12.77
Cyp2j9,1.45,2.55,4.13,3.59
Cyp4f13,6.52,7.84,14.44,11.66
Cyp4f16,3.02,5.59,7.59,6.59
Cyp4f17,2.60,2.40,2.81,2.90
Cyp4f18,1.75,2.16,8.83,3.13
Ephx2,71.15,95.25,97.36,78.16
