"Package","Version"
"progress","1.2.3"
"progressr","1.0.0"
"promises","1.5.0"
"ps","1.9.3"
"purrr","1.2.2"
"qpdf","1.4.1"
"quantreg","6.1"
"qvalue","2.42.0"
"R.methodsS3","1.8.2"
"R.oo","1.27.1"
"R.utils","2.13.0"
"R6","2.6.1"
"ragg","1.5.2"
"RANN","2.6.2"
"rappdirs","0.3.4"
"rbibutils","2.4.1"
"rcmdcheck","1.4.0"
"RColorBrewer","1.1-3"
"Rcpp","1.1.2"
"RcppAnnoy","0.0.23"
"RcppArmadillo","15.4.0-1"
"RcppEigen","0.3.4.0.2"
"RcppHNSW","0.7.0"
"RcppML","0.3.7.1"
"RcppProgress","0.4.2"
"RcppTOML","0.2.3"
"RCurl","1.98-1.19"
"Rdpack","2.6.6"
"rdtools","0.1.0"
"readr","2.2.0"
"readxl","1.5.0"
"reformulas","0.4.4"
"registry","0.5-1"
"rematch","2.0.0"
"rematch2","2.1.2"
"remotes","2.5.0"
"reprex","2.1.1"
"reshape2","1.4.5"
"restfulr","0.0.17"
"reticulate","1.46.0"
"rex","1.2.2"
"rhdf5","2.54.1"
"rhdf5filters","1.22.0"
"Rhdf5lib","1.32.0"
"RhpcBLASctl","0.23-42"
"Rhtslib","3.6.0"
"rjson","0.2.23"
"rlang","1.2.0"
"rmarkdown","2.31"
"rngtools","1.5.2"
"ROCR","1.0-12"
"roxygen2","8.1.0"
"rprojroot","2.1.1"
"Rsamtools","2.26.0"
"RSpectra","0.16-2"
"RSQLite","3.53.3"
"rstatix","1.1.0"
"rstudioapi","0.18.0"
"rsvd","1.0.5"
"rtracklayer","1.70.1"
"Rtsne","0.17"
"rversions","3.0.0"
"rvest","1.0.5"
"S4Arrays","1.10.1"
"S4Vectors","0.48.1"
"S7","0.2.2"
"sass","0.4.10"
"ScaledMatrix","1.18.0"
"scales","1.4.0"
"scater","1.38.1"
"scattermore","1.2"
"scatterpie","0.2.6"
"scDblFinder","1.24.10"
"scran","1.38.1"
"sctransform","0.4.3"
"scuttle","1.20.0"
"selectr","0.5-1"
"Seqinfo","1.0.0"
"sessioninfo","1.2.4"
"Seurat","5.5.1"
"SeuratObject","5.4.0"
"shape","1.4.6.1"
"shiny","1.14.0"
"SingleCellExperiment","1.32.0"
"SingleR","2.12.0"
"sitmo","2.0.2"
"sna","2.8"
"snakecase","0.11.1"
"snow","0.4-4"
"sourcetools","0.1.7-2"
"sp","2.2-1"
"spam","2.11-4"
"SparseArray","1.10.10"
"SparseM","1.84-2"
"sparseMatrixStats","1.22.0"
"spatstat.data","3.1-9"
"spatstat.explore","3.8-1"
"spatstat.geom","3.8-1"
"spatstat.random","3.5-0"
"spatstat.sparse","3.2-0"
"spatstat.univar","3.2-0"
"spatstat.utils","3.2-4"
"statmod","1.5.2"
"statnet.common","4.13.0"
"stringi","1.8.7"
"stringr","1.6.0"
"SummarizedExperiment","1.40.0"
"svglite","2.2.2"
"sys","3.4.3"
"systemfonts","1.3.2"
"tensor","1.5.1"
"testthat","3.3.2"
"textshaping","1.0.5"
"tibble","3.3.1"
"tidydr","0.0.6"
"tidyr","1.3.2"
"tidyselect","1.2.1"
"tidytree","0.4.8"
"tidyverse","2.0.0"
"timechange","0.4.0"
"timeDate","4052.112"
"tinytex","0.59"
"treeio","1.34.0"
"tweenr","2.0.3"
"tzdb","0.5.0"
"UCSC.utils","1.6.1"
"urca","1.3-4"
"urlchecker","2.0.0"
