"Sample","Gene","Total_Spots","Positive_Spots","Percent_Positive","Mean_Raw_Count","Mean_Normalized_Expression","Total_UMI","Sham_Percent_Positive","Sham_Mean_Normalized","Log2_Detection_Ratio_vs_Sham","Log2_Normalized_Ratio_vs_Sham","Condition_plot"
"Sham","Cyp1b1",1657,80,4.82800241400121,0.0531080265540133,0.0242385946756606,88,4.82800241400121,0.0242385946756606,0,0,"Sham"
"Sham","Cyp2j6",1657,106,6.3971031985516,0.0712130356065178,0.0303947908569902,118,6.3971031985516,0.0303947908569902,0,0,"Sham"
"Sham","Cyp2j9",1657,24,1.44840072420036,0.0144840072420036,0.00609473871471921,24,1.44840072420036,0.00609473871471921,0,0,"Sham"
"Sham","Cyp4f13",1657,108,6.51780325890163,0.0748340374170187,0.0308968077434237,124,6.51780325890163,0.0308968077434237,0,0,"Sham"
"Sham","Cyp4f16",1657,50,3.01750150875075,0.0313820156910078,0.0144617764850649,52,3.01750150875075,0.0144617764850649,0,0,"Sham"
"Sham","Cyp4f17",1657,43,2.59505129752565,0.0277610138805069,0.0119288435632171,46,2.59505129752565,0.0119288435632171,0,0,"Sham"
"Sham","Cyp4f18",1657,29,1.75015087507544,0.0211225105612553,0.00922351125249485,35,1.75015087507544,0.00922351125249485,0,0,"Sham"
"Sham","Ephx2",1657,1179,71.1526855763428,1.81050090525045,0.624592371020636,3000,71.1526855763428,0.624592371020636,0,0,"Sham"
"TAC_2W","Cyp1b1",2040,203,9.95098039215686,0.116666666666667,0.0390648012736035,238,4.82800241400121,0.0242385946756606,1.02826136368994,0.666703739719627,"2W"
"TAC_2W","Cyp2j6",2040,202,9.90196078431373,0.112254901960784,0.0368948020077077,229,6.3971031985516,0.0303947908569902,0.622414327722513,0.271474767394009,"2W"
"TAC_2W","Cyp2j9",2040,52,2.54901960784314,0.0264705882352941,0.0087126387055213,54,1.44840072420036,0.00609473871471921,0.774679634962904,0.45311374305381,"2W"
"TAC_2W","Cyp4f13",2040,160,7.84313725490196,0.0862745098039216,0.0293072289331223,176,6.51780325890163,0.0308968077434237,0.263356530513184,-0.0737500963246476,"2W"
"TAC_2W","Cyp4f16",2040,114,5.58823529411765,0.0593137254901961,0.0205247522141289,121,3.01750150875075,0.0144617764850649,0.867590885075147,0.477290542256944,"2W"
"TAC_2W","Cyp4f17",2040,49,2.40196078431373,0.0245098039215686,0.00911769487697482,50,2.59505129752565,0.0119288435632171,-0.107253556547294,-0.353712600202596,"2W"
"TAC_2W","Cyp4f18",2040,44,2.15686274509804,0.0240196078431373,0.00797017530221686,49,1.75015087507544,0.00922351125249485,0.28667575764108,-0.188682688425486,"2W"
"TAC_2W","Ephx2",2040,1943,95.2450980392157,4.06960784313725,0.928349229518699,8302,71.1526855763428,0.624592371020636,0.420214375784287,0.570997913002675,"2W"
"TAC_4W","Cyp1b1",1212,314,25.9075907590759,0.356435643564356,0.104429838175223,432,4.82800241400121,0.0242385946756606,2.39985789202061,2.06257974225277,"4W"
"TAC_4W","Cyp2j6",1212,173,14.2739273927393,0.168316831683168,0.0511271287925663,204,6.3971031985516,0.0303947908569902,1.14558577775239,0.731509195699073,"4W"
"TAC_4W","Cyp2j9",1212,50,4.12541254125412,0.0429042904290429,0.0129559179325226,52,1.44840072420036,0.00609473871471921,1.44831331594208,0.976055560178138,"4W"
"TAC_4W","Cyp4f13",1212,175,14.4389438943894,0.155115511551155,0.047800983411855,188,6.51780325890163,0.0308968077434237,1.13549816859361,0.613498175308865,"4W"
"TAC_4W","Cyp4f16",1212,92,7.59075907590759,0.08003300330033,0.0245796483157351,97,3.01750150875075,0.0144617764850649,1.30273574057356,0.72629034169407,"4W"
"TAC_4W","Cyp4f17",1212,34,2.80528052805281,0.0297029702970297,0.00912133719361052,36,2.59505129752565,0.0119288435632171,0.108364740638007,-0.353193331080825,"4W"
"TAC_4W","Cyp4f18",1212,107,8.82838283828383,0.100660066006601,0.0291873334171595,122,1.75015087507544,0.00922351125249485,2.27075596588382,1.56205254950389,"4W"
"TAC_4W","Ephx2",1212,1180,97.3597359735974,8.02227722772277,1.30996277034762,9723,71.1526855763428,0.624592371020636,0.451861922522981,1.06733189098743,"4W"
"TAC_6W","Cyp1b1",2170,225,10.36866359447,0.121658986175115,0.0399829605786294,264,4.82800241400121,0.0242385946756606,1.08700241503516,0.699392626286304,"6W"
"TAC_6W","Cyp2j6",2170,277,12.7649769585253,0.145622119815668,0.0497919553155634,316,6.3971031985516,0.0303947908569902,0.985580347245253,0.6940748122902,"6W"
"TAC_6W","Cyp2j9",2170,78,3.59447004608295,0.03963133640553,0.0120906865278667,86,1.44840072420036,0.00609473871471921,1.25458854406053,0.883719301200822,"6W"
"TAC_6W","Cyp4f13",2170,253,11.6589861751152,0.136405529953917,0.0407498768381779,296,6.51780325890163,0.0308968077434237,0.829339373224792,0.388359896446482,"6W"
"TAC_6W","Cyp4f16",2170,143,6.58986175115207,0.0709677419354839,0.0247188773427102,154,3.01750150875075,0.0144617764850649,1.10158613900212,0.734121581184865,"6W"
"TAC_6W","Cyp4f17",2170,63,2.90322580645161,0.0313364055299539,0.0112946509695809,68,2.59505129752565,0.0119288435632171,0.156200218831251,-0.0725624581037499,"6W"
"TAC_6W","Cyp4f18",2170,68,3.13364055299539,0.0345622119815668,0.0120094825131525,75,1.75015087507544,0.00922351125249485,0.80551639610945,0.347672802917175,"6W"
"TAC_6W","Ephx2",2170,1696,78.1566820276498,2.69400921658986,0.668753110786967,5846,71.1526855763428,0.624592371020636,0.135269551677817,0.0984064575735734,"6W"
