"Gene","log2FC","Evidence"
"Cyp1b1",0.4236,"Concordant increase"
"Cyp2j6",-0.1406,"Replicate inconsistent"
"Cyp2j9",-0.5998,"Replicate inconsistent"
"Cyp4f13",-0.2845,"Concordant decrease"
"Cyp4f16",-0.0224,"Replicate inconsistent"
"Cyp4f17",NA,"Not evaluable"
"Cyp4f18",0.5669,"Concordant increase"
"Ephx2",-0.1956,"Concordant decrease"
